asset_id,ticker,name,country,exchange,sector,asset_class,currency
1,360ONE.NS,360ONE,IN,NSE,Financial Services,Equity,INR
2,3MINDIA.NS,3MINDIA,IN,NSE,Industrials,Equity,INR
3,AADHARHFC.NS,AADHARHFC,IN,NSE,Financial Services,Equity,INR
4,AARTIIND.NS,AARTIIND,IN,NSE,Basic Materials,Equity,INR
5,AAVAS.NS,AAVAS,IN,NSE,Financial Services,Equity,INR
6,ABB.NS,ABB,IN,NSE,Industrials,Equity,INR
7,ABBOTINDIA.NS,ABBOTINDIA,IN,NSE,Healthcare,Equity,INR
8,ABCAPITAL.NS,ABCAPITAL,IN,NSE,Financial Services,Equity,INR
9,ABFRL.NS,ABFRL,IN,NSE,Consumer Cyclical,Equity,INR
10,ABLBL.NS,ABLBL,IN,NSE,Consumer Cyclical,Equity,INR
11,ABREL.NS,ABREL,IN,NSE,Real Estate,Equity,INR
12,ABSLAMC.NS,ABSLAMC,IN,NSE,Financial Services,Equity,INR
13,ACC.NS,ACC,IN,NSE,Basic Materials,Equity,INR
14,ACE.NS,ACE,IN,NSE,Industrials,Equity,INR
15,ACMESOLAR.NS,ACMESOLAR,IN,NSE,Utilities,Equity,INR
16,ADANIENSOL.NS,ADANIENSOL,IN,NSE,Utilities,Equity,INR
17,ADANIENT.NS,ADANIENT,IN,NSE,Energy,Equity,INR
18,ADANIGREEN.NS,ADANIGREEN,IN,NSE,Utilities,Equity,INR
19,ADANIPORTS.NS,ADANIPORTS,IN,NSE,Industrials,Equity,INR
20,ADANIPOWER.NS,ADANIPOWER,IN,NSE,Utilities,Equity,INR
21,AEGISLOG.NS,AEGISLOG,IN,NSE,Energy,Equity,INR
22,AEGISVOPAK.NS,AEGISVOPAK,IN,NSE,Energy,Equity,INR
23,AFCONS.NS,AFCONS,IN,NSE,Industrials,Equity,INR
24,AFFLE.NS,AFFLE,IN,NSE,Communication Services,Equity,INR
25,AGARWALEYE.NS,AGARWALEYE,IN,NSE,Healthcare,Equity,INR
26,AIAENG.NS,AIAENG,IN,NSE,Industrials,Equity,INR
27,AIIL.NS,AIIL,IN,NSE,Financial Services,Equity,INR
28,AJANTPHARM.NS,AJANTPHARM,IN,NSE,Healthcare,Equity,INR
29,AKUMS.NS,AKUMS,IN,NSE,Healthcare,Equity,INR
30,AKZOINDIA.NS,AKZOINDIA,IN,NSE,Basic Materials,Equity,INR
31,ALKEM.NS,ALKEM,IN,NSE,Healthcare,Equity,INR
32,ALKYLAMINE.NS,ALKYLAMINE,IN,NSE,Basic Materials,Equity,INR
33,ALOKINDS.NS,ALOKINDS,IN,NSE,Consumer Cyclical,Equity,INR
34,AMBER.NS,AMBER,IN,NSE,Consumer Cyclical,Equity,INR
35,AMBUJACEM.NS,AMBUJACEM,IN,NSE,Basic Materials,Equity,INR
